WKT,id,codigo,nombre,ubicacion,tipo,horario,anclajes_t
"POINT (-58.4755119067649 -34.5656423145767)","349","277",277 - Coghlan,2647 Estomba,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"8"
"POINT (-58.4655677492277 -34.6020283923655)","350","278",278 - Donato Alvarez,"1540 Garcia, Juan Agustin",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4853812429738 -34.5545802142783)","355","297",297 - TRONADOR Y GARCÍA DEL RÍO,Tronador y Garcia del Rio,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4710028181577 -34.5797508580108)","363","313",313 - De Los Incas,1378 Donado,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.3897856456985 -34.6427424928089)","409","0",316 - Buenos Aires,Lafayette 678,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4802738508157 -34.6411364121291)","369","330",330 - Parque Avellaneda,4001 Directorio Av. y Lacarra,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"28"
"POINT (-58.4691325492012 -34.5532612641182)","377","257",257 - Plaza Francisco Ramirez,"2700 Pedraza, Manuela",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"28"
"POINT (-58.3996472319575 -34.6385855496622)","385","387",387 - Luna,201 Luna,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4220892179842 -34.6440778652057)","386","394",394 - Av. La Plata,"804 Arbeletche, Anibal P.",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.4585371159979 -34.5550803575244)","387","396",396 - PLAZA ALBERTI,Arcos & Roosevelt Franklin D.,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.47395059775 -34.587458019093)","389","225",225 - HOSPITAL TORNU,1052 Avalos,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.3778816952673 -34.6079819574811)","391","37",037 - Claudia Pia Braudacco,Esmeralda y Av.Rivadvia,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"12"
"POINT (-58.4357996225498 -34.6198799456432)","393","187",187 - Jose Maria Moreno,141 Jose Maria Moreno,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.373722131969 -34.6376986560563)","394","273",273 - Plazoleta Colombia,1619 Brandsen,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.4594980806633 -34.5445021121101)","396","227",227 -Club Ciudad de Buenos Aires,Miguel Sanchez y Av Libertadores,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"16"
"POINT (-58.3747959781335 -34.6098020140517)","398","16",016 - Legislatura,"169 Peru & Roca, Julio A., Presidente Diagonal Sur Av.",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"20"
"POINT (-58.370711799739 -34.6089370142298)","401","61",061-Ministerio de Economia,"Balcarce & Yrigoyen, Hipolito Av.",AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.3788579541696 -34.5824223699167)","403","393",393 - Barrio 31,Carlos H. Perette 11,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
"POINT (-58.4632508461667 -34.6290840208419)","405","352",352 - San Jose de Flores,Avenida Rivadavia y Fray Cayetano,AUTOMÁTICA,Estación automática: disponibilidad las 24 horas,"24"
